TFOPWG Disposition,TESS Mag,Epoch (BJD),Period (days),Duration (hours),Depth (ppm),Planet Radius (R_Earth),Planet Insolation (Earth Flux),Planet Equil Temp (K),Stellar Distance (pc),Stellar Eff Temp (K),Stellar log(g) (cm/s^2),Stellar Radius (R_Sun),Predictions
PC,9.2789,2460034.277401,5.5411098,2.387,627.0,1.98262,99.1051,879.0,66.6187,5332.0,4.56429,0.82,1
PC,9.2789,2460038.721177,10.6917268,2.974,519.0,1.73115,42.2657,710.0,66.6187,5332.0,4.56429,0.82,1
PC,7.9849,2459978.249191,4.9404783,1.933,405.0,2.16127,168.312,1003.0,68.4727,6086.0,4.26269,1.13,1
PC,9.9762,2458327.283567,8.19922718924325,2.2298894243387,1015.45581923937,2.20435020720377,26.2366325220058,577.227180108517,48.6326,4028.0,4.55902,0.650533020496368,1
PC,9.3636,2458334.891916,11.0708037285261,2.51608329699429,1291.24053388794,3.07940622229035,22.4220519021504,554.994383283977,42.4061,4356.0,4.53491,0.700726985931396,1
PC,14.7109,2458325.486194,0.853353552145166,1.10148781529648,25488.2232644957,12.6939269896351,262.102476437116,1026.21304414348,320.237,3658.0,4.438,0.608075976371765,1
PC,11.6789,2459060.6424,5.13002,4.78,3376.0,8.86428,842.866,1501.0,438.421,5430.7,4.4,1.58,0
PC,9.0284,2459084.27118,5.45001,4.353,940.0,5.61464,882.006,1518.0,187.131,6220.5,3.99,1.79,1
PC,10.5132,2459382.232709,3.7628372,3.956,11360.0,17.3305867366452,1797.82720739528,1660.75946671256,347.593,6979.2,4.22,1.58746004104614,1
PC,10.7258,2458326.38833,5.06114,1.338,2920.0,8.62227,108.947,900.0,172.157,5254.0,4.45,1.0,0
PC,11.9692,2459387.008657,3.7115129,2.685,12280.0,13.941,399.006,1245.0,428.915,5973.0,4.31,1.22,1
PC,11.6626,2459359.397767,1.2386034,1.651,13300.0,13.5831,757.302,1461.0,256.345,5237.0,4.2427,1.11,1
PC,8.8784,2459345.034078,29.7536112,8.017,6530.0,12.1499,89.3437,856.0,152.023,6409.0,4.20097,1.47,1
PC,10.4654,2458358.118263,4.53205017292082,2.37544250794518,7874.58527881097,7.05907990793646,123.902399451402,850.921856176236,96.2338,4983.0,4.61445,0.805572986602783,1
PC,8.0674,2458354.312708,1.16301607791836,1.93580751161068,438.61318164565,11.6644896281261,49142.2008338392,3797.37424182718,292.32,6495.0,3.32048,4.05956983566284,0
PC,9.92801,2458356.3672,10.2150167926657,1.96830655357312,994.108904500983,1.47777541287631,7.41950339524889,420.933469551773,23.7262,3763.0,4.83739,0.447335988283157,1
PC,10.0391,2460038.970389,104.872393,6.285,12303.0,10.0307,2.33549,344.0,102.27,5350.0,4.52347,0.88,1
